Timestamp,Temperature(C),Humidity(%)
2021-11-29 06:00:23,33.3,18.5
2021-11-29 06:00:29,33.3,18.4
2021-11-29 06:00:34,33.3,18.6
2021-11-29 06:00:39,33.4,18.4
2021-11-29 06:00:45,33.3,18.7
2021-11-29 06:00:50,33.3,18.5
2021-11-29 06:00:55,33.4,18.4
2021-11-29 06:01:00,33.4,18.5
2021-11-29 06:01:06,33.3,18.3
2021-11-29 06:01:16,33.4,18.4
2021-11-29 06:01:22,33.3,18.5
2021-11-29 06:01:27,33.4,18.3
2021-11-29 06:01:32,33.4,18.5
2021-11-29 06:01:37,33.3,18.5
2021-11-29 06:01:43,33.4,18.5
2021-11-29 06:01:48,33.4,18.7
2021-11-29 06:01:53,33.4,18.4
2021-11-29 06:01:58,33.4,18.5
2021-11-29 06:02:04,33.3,18.6
2021-11-29 06:02:09,33.3,18.3
2021-11-29 06:02:20,33.4,18.2
2021-11-29 06:02:25,33.4,18.3
2021-11-29 06:02:30,33.4,18.4
2021-11-29 06:02:35,33.4,18.6
2021-11-29 06:02:41,33.3,18.4
2021-11-29 06:02:46,33.3,18.7
2021-11-29 06:02:51,33.4,18.5
2021-11-29 06:02:57,33.3,18.5
2021-11-29 06:03:02,33.4,18.6
2021-11-29 06:03:07,33.4,18.4
2021-11-29 06:03:12,33.3,18.6
2021-11-29 06:03:18,33.4,18.4
2021-11-29 06:03:23,33.4,18.6
2021-11-29 06:03:28,33.4,18.6
2021-11-29 06:03:34,33.3,18.6
2021-11-29 06:03:39,33.3,18.5
2021-11-29 06:03:44,33.3,18.4
2021-11-29 06:03:50,33.3,18.5
2021-11-29 06:03:55,33.3,18.4
2021-11-29 06:04:00,33.3,18.5
2021-11-29 06:04:05,33.3,18.5
2021-11-29 06:04:11,33.4,18.4
2021-11-29 06:04:16,33.4,18.3
2021-11-29 06:04:27,33.4,18.6
2021-11-29 06:04:32,33.4,18.3
2021-11-29 06:04:37,33.3,18.4
2021-11-29 06:04:42,33.3,18.4
2021-11-29 06:04:48,33.4,18.4
2021-11-29 06:04:53,33.3,18.4
2021-11-29 06:04:58,33.3,18.4
2021-11-29 06:05:04,33.4,18.4
2021-11-29 06:05:09,33.4,18.6
2021-11-29 06:05:14,33.4,18.3
2021-11-29 06:05:19,33.3,18.6
2021-11-29 06:05:25,33.3,18.4
2021-11-29 06:05:30,33.3,18.5
2021-11-29 06:05:35,33.3,18.3
2021-11-29 06:05:41,33.4,18.6
2021-11-29 06:05:46,33.4,18.4
2021-11-29 06:05:51,33.4,18.7
2021-11-29 06:05:57,33.3,18.3
2021-11-29 06:06:02,33.3,18.6
2021-11-29 06:06:07,33.4,18.5
2021-11-29 06:06:12,33.4,18.4
2021-11-29 06:06:18,33.3,18.5
2021-11-29 06:06:23,33.3,18.5
2021-11-29 06:06:28,33.4,18.4
2021-11-29 06:06:34,33.4,18.7
2021-11-29 06:06:39,33.3,18.7
2021-11-29 06:06:44,33.3,18.3
2021-11-29 06:06:49,33.4,18.4
2021-11-29 06:06:55,33.4,18.6
2021-11-29 06:07:00,33.3,18.5
2021-11-29 06:07:05,33.4,18.2
2021-11-29 06:07:10,33.3,18.6
2021-11-29 06:07:21,33.4,18.3
2021-11-29 06:07:26,33.3,18.6
2021-11-29 06:07:32,33.4,18.3
2021-11-29 06:07:37,33.3,18.3
2021-11-29 06:07:42,33.4,18.4
2021-11-29 06:07:47,33.3,18.6
2021-11-29 06:07:53,33.4,18.3
2021-11-29 06:07:58,33.4,18.3
2021-11-29 06:08:03,33.3,18.3
2021-11-29 06:08:09,33.4,18.5
2021-11-29 06:08:14,33.3,18.2
2021-11-29 06:08:19,33.4,18.5
2021-11-29 06:08:24,33.3,18.5
2021-11-29 06:08:30,33.4,18.4
2021-11-29 06:08:35,33.3,18.3
2021-11-29 06:08:40,33.3,18.3
2021-11-29 06:08:45,33.4,18.4
2021-11-29 06:08:51,33.3,18.2
2021-11-29 06:08:56,33.3,18.5
2021-11-29 06:09:01,33.4,18.3
2021-11-29 06:09:07,33.3,18.4
2021-11-29 06:09:12,33.3,18.2
2021-11-29 06:09:17,33.3,18.5
2021-11-29 06:09:22,33.3,18.4
2021-11-29 06:09:28,33.4,18.4
2021-11-29 06:09:33,33.4,18.5
2021-11-29 06:09:38,33.4,18.7
2021-11-29 06:09:44,33.3,18.4
2021-11-29 06:09:49,33.4,18.4
2021-11-29 06:09:54,33.3,18.4
2021-11-29 06:10:00,33.4,18.7
2021-11-29 06:10:05,33.4,18.2
2021-11-29 06:10:10,33.4,18.4
2021-11-29 06:10:21,33.4,18.4
2021-11-29 06:10:26,33.3,18.4
2021-11-29 06:10:32,33.3,18.2
2021-11-29 06:10:37,33.4,18.4
2021-11-29 06:10:42,33.4,18.4
2021-11-29 06:10:47,33.3,18.3
2021-11-29 06:10:53,33.4,18.4
2021-11-29 06:10:58,33.3,18.5
2021-11-29 06:11:03,33.3,18.5
2021-11-29 06:11:09,33.3,18.4
2021-11-29 06:11:14,33.3,18.3
2021-11-29 06:11:19,33.4,18.4
2021-11-29 06:11:25,33.3,18.4
2021-11-29 06:11:30,33.3,18.3
2021-11-29 06:11:35,33.3,18.1
2021-11-29 06:11:40,33.3,18.4
2021-11-29 06:11:51,33.3,18.4
2021-11-29 06:11:56,33.4,18.5
2021-11-29 06:12:02,33.4,18.5
2021-11-29 06:12:07,33.4,18.3
2021-11-29 06:12:12,33.3,18.4
2021-11-29 06:12:17,33.3,18.1
2021-11-29 06:12:23,33.3,18.3
2021-11-29 06:12:28,33.4,18.3
2021-11-29 06:12:33,33.4,18.4
2021-11-29 06:12:39,33.3,18.5
2021-11-29 06:12:44,33.4,18.4
2021-11-29 06:12:49,33.4,18.3
2021-11-29 06:13:00,33.3,18.8
2021-11-29 06:13:05,33.4,18.5
2021-11-29 06:13:10,33.4,18.5
2021-11-29 06:13:16,33.3,18.3
2021-11-29 06:13:21,33.3,18.2
2021-11-29 06:13:26,33.4,18.4
2021-11-29 06:13:31,33.3,18.2
2021-11-29 06:13:37,33.3,18.6
2021-11-29 06:13:42,33.3,18.3
2021-11-29 06:13:47,33.3,18.4
2021-11-29 06:13:52,33.4,18.3
2021-11-29 06:13:58,33.3,18.5
2021-11-29 06:14:03,33.4,18.4
2021-11-29 06:14:08,33.4,18.3
2021-11-29 06:14:14,33.3,18.1
2021-11-29 06:14:19,33.4,18.5
2021-11-29 06:14:24,33.3,18.3
2021-11-29 06:14:29,33.3,18.4
2021-11-29 06:14:35,33.3,18.3
2021-11-29 06:14:40,33.3,18.5
2021-11-29 06:14:45,33.3,18.5
2021-11-29 06:14:51,33.4,18.5
2021-11-29 06:14:56,33.4,18.3
2021-11-29 06:15:01,33.4,18.3
2021-11-29 06:15:07,33.4,18.3
2021-11-29 06:15:12,33.3,18.4
2021-11-29 06:15:17,33.4,18.2
2021-11-29 06:15:28,33.3,18.4
2021-11-29 06:15:33,33.3,18.2
2021-11-29 06:15:44,33.3,18.6
2021-11-29 06:15:49,33.3,18.3
2021-11-29 06:15:54,33.3,18.5
2021-11-29 06:16:00,33.4,18.3
2021-11-29 06:16:05,33.4,18.1
2021-11-29 06:16:10,33.4,18.3
2021-11-29 06:16:16,33.3,18.4
2021-11-29 06:16:21,33.4,18.2
2021-11-29 06:16:26,33.4,18.4
2021-11-29 06:16:37,33.3,18.5
2021-11-29 06:16:42,33.3,18.2
2021-11-29 06:16:47,33.3,18.3
2021-11-29 06:16:53,33.3,18.4
2021-11-29 06:16:58,33.4,18.5
2021-11-29 06:17:03,33.3,18.1
2021-11-29 06:17:08,33.3,18.3
2021-11-29 06:17:14,33.3,18.4
2021-11-29 06:17:19,33.3,18.4
2021-11-29 06:17:24,33.3,18.4
2021-11-29 06:17:29,33.3,18.5
2021-11-29 06:17:35,33.3,18.3
2021-11-29 06:17:40,33.4,18.3
2021-11-29 06:17:45,33.4,18.3
2021-11-29 06:17:51,33.4,18.6
2021-11-29 06:17:56,33.3,18.5
2021-11-29 06:18:01,33.4,18.5
2021-11-29 06:18:07,33.3,18.4
